lucode,LULC_desc,LULC_veg,root_depth,Kc
0,NoData,0,0,0
1,ArtificialSurface,0,0,0.29
3,Forest,1,3500,1
4,Wetland,0,3500,1
5,WaterBody,0,10,1
21,ArableLand,1,1500,0.575
23,Pastureland,1,2000,0.65
24,HeterogeneousAgriculturalLand,1,1833,0.675
33,SparseVegetation,1,1175,0.365
40,NoData,0,0,0
221,PermanentCropland,1,2250,0.825
222,PermanentCropland,1,2250,0.825
223,PermanentCropland,1,2250,0.825
224,PermanentCropland,1,2250,0.825
230,Shrubland,1,2000,0.5
231,ClosedSavanna,1,2750,0.75
232,Banana,1,2250,0.825
233,PermanentCropland,1,2250,0.825
234,Rubber,1,3500,1
235,OilPalmPlantation,1,2250,0.825
236,Sugarcane,1,2250,0.825
238,OpenSavanna,1,2750,0.75
239,NoData,0,0,0
255,NoData,0,0,0
