lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
0,NoData,0,0,0,0,0,0,0,,,,,,,,
1,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
3,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
4,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
5,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
21,ArableLand,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
23,Pastureland,28.8,0.4,0.4,0.5,150,150,0,,,,,,,,
24,HeterogeneousAgriculturalLand,59.2,17.6,0.25,0.87,150,150,0,,,,,,,,
33,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,,
40,NoData,0,0,0,0,0,0,0,,,,,,,,
221,PermanentCropland,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
222,PermanentCropland,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
223,PermanentCropland,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
224,PermanentCropland,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
230,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
231,ClosedSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,,
232,Banana,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
233,PermanentCropland,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
234,Rubber,5,1.3,0.8,0.84,150,150,0,,,,,,,,
235,OilPalmPlantation,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
236,Sugarcane,88.82,26.45,0.25,0.74,150,150,0,,,,,,,,
238,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,,
239,NoData,0,0,0,0,0,0,0,,,,,,,,
255,NoData,0,0,0,0,0,0,0,,,,,,,,
